gamecode_full,gamecode_num,date,group,round,home_team_code,away_team_code,home_score,away_score,season_code
E2025_1,1,2025-09-30T00:00:00+00:00,Regular Season,RS,IST,TEL,85,78,E2025
E2025_2,2,2025-09-30T00:00:00+00:00,Regular Season,RS,BAS,OLY,96,102,E2025
E2025_3,3,2025-09-30T00:00:00+00:00,Regular Season,RS,RED,MIL,82,92,E2025
E2025_4,4,2025-09-30T00:00:00+00:00,Regular Season,RS,DUB,PAR,89,76,E2025
E2025_5,5,2025-09-30T00:00:00+00:00,Regular Season,RS,HTA,BAR,103,87,E2025
E2025_6,6,2025-09-30T00:00:00+00:00,Regular Season,RS,PAN,MUN,87,79,E2025
E2025_7,7,2025-09-30T00:00:00+00:00,Regular Season,RS,VIR,MAD,74,68,E2025
E2025_8,8,2025-10-01T00:00:00+00:00,Regular Season,RS,ULK,PRS,96,77,E2025
E2025_9,9,2025-10-01T00:00:00+00:00,Regular Season,RS,MCO,ZAL,84,89,E2025
E2025_10,10,2025-10-01T00:00:00+00:00,Regular Season,RS,ASV,PAM,77,80,E2025
E2025_11,11,2025-10-02T00:00:00+00:00,Regular Season,RS,MUN,RED,97,88,E2025
E2025_12,12,2025-10-02T00:00:00+00:00,Regular Season,RS,PAR,MIL,80,78,E2025
E2025_13,13,2025-10-02T00:00:00+00:00,Regular Season,RS,MAD,OLY,89,77,E2025
E2025_14,14,2025-10-03T00:00:00+00:00,Regular Season,RS,IST,HTA,81,87,E2025
E2025_15,15,2025-10-03T00:00:00+00:00,Regular Season,RS,TEL,PRS,94,101,E2025
E2025_16,16,2025-10-03T00:00:00+00:00,Regular Season,RS,MCO,DUB,103,81,E2025
E2025_17,17,2025-10-03T00:00:00+00:00,Regular Season,RS,ASV,BAS,102,95,E2025
E2025_18,18,2025-10-03T00:00:00+00:00,Regular Season,RS,PAN,BAR,96,103,E2025
E2025_19,19,2025-10-03T00:00:00+00:00,Regular Season,RS,PAM,VIR,103,94,E2025
E2025_20,20,2025-10-03T00:00:00+00:00,Regular Season,RS,ZAL,ULK,84,81,E2025
E2025_21,21,2025-10-08T00:00:00+00:00,Regular Season,RS,HTA,TEL,90,103,E2025
E2025_22,22,2025-10-09T00:00:00+00:00,Regular Season,RS,BAS,PAN,84,86,E2025
E2025_23,23,2025-10-09T00:00:00+00:00,Regular Season,RS,MIL,MCO,79,82,E2025
E2025_24,24,2025-10-09T00:00:00+00:00,Regular Season,RS,PRS,VIR,90,79,E2025
E2025_25,25,2025-10-09T00:00:00+00:00,Regular Season,RS,MAD,ASV,85,72,E2025
E2025_26,26,2025-10-09T00:00:00+00:00,Regular Season,RS,PAR,IST,93,87,E2025
E2025_27,27,2025-10-10T00:00:00+00:00,Regular Season,RS,OLY,DUB,86,67,E2025
E2025_28,28,2025-10-10T00:00:00+00:00,Regular Season,RS,BAR,PAM,108,102,E2025
E2025_29,29,2025-10-10T00:00:00+00:00,Regular Season,RS,MUN,ZAL,70,98,E2025
E2025_30,30,2025-10-10T00:00:00+00:00,Regular Season,RS,ULK,RED,81,86,E2025
E2025_31,31,2025-10-14T00:00:00+00:00,Regular Season,RS,RED,ZAL,88,79,E2025
E2025_32,32,2025-10-14T00:00:00+00:00,Regular Season,RS,MUN,MIL,64,53,E2025
E2025_33,33,2025-10-14T00:00:00+00:00,Regular Season,RS,ULK,DUB,69,93,E2025
E2025_34,34,2025-10-14T00:00:00+00:00,Regular Season,RS,OLY,IST,78,82,E2025
E2025_35,35,2025-10-14T00:00:00+00:00,Regular Season,RS,TEL,BAR,71,92,E2025
E2025_36,36,2025-10-15T00:00:00+00:00,Regular Season,RS,PAN,ASV,91,85,E2025
E2025_37,37,2025-10-15T00:00:00+00:00,Regular Season,RS,PRS,BAS,105,87,E2025
E2025_38,38,2025-10-15T00:00:00+00:00,Regular Season,RS,MAD,PAR,93,86,E2025
E2025_39,39,2025-10-15T00:00:00+00:00,Regular Season,RS,PAM,HTA,93,100,E2025
E2025_40,40,2025-10-15T00:00:00+00:00,Regular Season,RS,VIR,MCO,77,73,E2025
E2025_41,41,2025-10-16T00:00:00+00:00,Regular Season,RS,DUB,BAR,83,78,E2025
E2025_42,42,2025-10-16T00:00:00+00:00,Regular Season,RS,ULK,MUN,88,73,E2025
E2025_43,43,2025-10-16T00:00:00+00:00,Regular Season,RS,TEL,OLY,94,95,E2025
E2025_44,44,2025-10-16T00:00:00+00:00,Regular Season,RS,ZAL,MIL,78,89,E2025
E2025_45,45,2025-10-17T00:00:00+00:00,Regular Season,RS,IST,PAN,81,95,E2025
E2025_46,46,2025-10-17T00:00:00+00:00,Regular Season,RS,MCO,PAM,90,84,E2025
E2025_47,47,2025-10-17T00:00:00+00:00,Regular Season,RS,BAS,PAR,79,91,E2025
E2025_48,48,2025-10-17T00:00:00+00:00,Regular Season,RS,RED,MAD,90,75,E2025
E2025_49,49,2025-10-17T00:00:00+00:00,Regular Season,RS,ASV,VIR,83,90,E2025
E2025_50,50,2025-10-17T00:00:00+00:00,Regular Season,RS,PRS,HTA,88,89,E2025
E2025_51,51,2025-10-22T00:00:00+00:00,Regular Season,RS,TEL,MAD,92,91,E2025
E2025_52,52,2025-10-23T00:00:00+00:00,Regular Season,RS,RED,BAS,90,72,E2025
E2025_53,53,2025-10-23T00:00:00+00:00,Regular Season,RS,MIL,PAM,100,103,E2025
E2025_54,54,2025-10-23T00:00:00+00:00,Regular Season,RS,BAR,ZAL,73,88,E2025
E2025_55,55,2025-10-23T00:00:00+00:00,Regular Season,RS,HTA,MCO,85,77,E2025
E2025_56,56,2025-10-23T00:00:00+00:00,Regular Season,RS,ASV,DUB,85,79,E2025
E2025_57,57,2025-10-24T00:00:00+00:00,Regular Season,RS,IST,ULK,69,79,E2025
